ID,CH2_CATEGORY
2,INSTRUCTION RESOURCE DIVISION
3,PICTURE
4,FAMILY & FRIENDSHIP
5,PICTURE
6,SCIENCE
7,PICTURE
8,PICTURE
9,PICTURE
10,FANTASY
11,FAMILY & FRIENDSHIP
12,CHAPTER
13,GRAPHIC NOVELS
14,PICTURE
15,REFERENCE
16,PICTURE
17,EASY READER
18,FAMILY & FRIENDSHIP
19,PICTURE
20,FAMILY & FRIENDSHIP
21,BIOGRAPHY
22,PICTURE
23,HUMOR
24,GRAPHIC NOVELS
25,PICTURE
26,CHAPTER
27,REFERENCE
28,REFERENCE
29,SCIENCE
30,PICTURE
31,FANTASY
32,HISTORICAL FICTION
33,CHAPTER
34,ADVENTURE
35,ACTIVITY
36,HISTORICAL FICTION
37,PICTURE
38,MYSTERY
39,FAMILY & FRIENDSHIP
40,PICTURE
41,HISTORY
42,BIOGRAPHY
43,MYSTERY
44,HUMOR
45,EASY READER
46,SCIENCE
47,PICTURE
48,FAMILY & FRIENDSHIP
49,FAMILY & FRIENDSHIP
50,CHAPTER
51,PICTURE
52,PICTURE
53,FAMILY & FRIENDSHIP
54,PICTURE
55,PICTURE
56,MYSTERY
57,PICTURE
58,FAMILY & FRIENDSHIP
59,PICTURE
60,EASY READER
61,PICTURE
62,HISTORY
63,FAMILY & FRIENDSHIP
64,PICTURE
65,BIOGRAPHY
66,ADVENTURE
67,PICTURE
68,REFERENCE
70,EASY READER
71,GRAPHIC NOVELS
72,PICTURE
73,EASY READER
74,EASY READER
75,PICTURE
76,CHAPTER
77,FAMILY & FRIENDSHIP
78,COOKBOOK
79,REFERENCE
80,MYSTERY
81,PICTURE
82,FAMILY & FRIENDSHIP
83,SCIENCE
84,PICTURE
85,HUMOR
86,GRAPHIC NOVELS
87,EASY READER
88,BIOGRAPHY
89,HUMOR
90,CHAPTER
92,BIOGRAPHY
93,PICTURE
94,CHAPTER
95,EASY READER
96,HISTORY
97,HISTORICAL FICTION
98,CHAPTER
99,ADULT FICTION
100,FAMILY & FRIENDSHIP
101,SPANISH
102,CHAPTER
103,FAMILY & FRIENDSHIP
104,REFERENCE
105,REFERENCE
106,GRAPHIC NOVELS
107,BIOGRAPHY
108,EASY READER
109,PICTURE
110,HISTORY
111,HUMOR
112,PICTURE
113,PICTURE
114,GRAPHIC NOVELS
115,PICTURE
116,EASY READER
117,CHAPTER
118,GRAPHIC NOVELS
119,PICTURE
120,STATIONERY
121,SPANISH
122,PICTURE
123,PICTURE
124,FAMILY & FRIENDSHIP
125,HUMOR
126,FAMILY & FRIENDSHIP
127,PICTURE
128,CHAPTER
129,CHAPTER
130,FAMILY & FRIENDSHIP
131,GRAPHIC NOVELS
132,HUMOR
133,GRAPHIC NOVELS
134,SPANISH
135,CHAPTER
136,HISTORY
137,HISTORICAL FICTION
138,ACTIVITY
139,HUMOR
140,PICTURE
141,ACTIVITY
142,FANTASY
143,PICTURE
145,ACQUISITION
146,CHAPTER
147,GRAPHIC NOVELS
148,HUMOR
149,INSTRUCTION RESOURCE DIVISION
151,FANTASY
152,REFERENCE
153,MISCELLANEOUS (Non-Stock Items)
154,CHAPTER
157,HISTORICAL FICTION
158,CHAPTER
159,SPORTS
160,FAMILY & FRIENDSHIP
161,EASY READER
162,EASY READER
163,EASY READER
164,INSTRUCTION RESOURCE DIVISION
165,EASY READER
166,CHAPTER
167,EASY READER
168,INSTRUCTION RESOURCE DIVISION
169,PICTURE
170,CHAPTER
171,GRAPHIC NOVELS
172,EASY READER
173,EASY READER
174,FAMILY & FRIENDSHIP
175,EASY READER
176,REFERENCE
178,EASY READER
179,EASY READER
180,BIOGRAPHY
181,EASY READER
182,PICTURE
183,FAMILY & FRIENDSHIP
184,PICTURE
185,SCIENCE
186,PICTURE
187,PICTURE
188,COOKBOOK
189,CHAPTER
190,PICTURE
191,PICTURE
192,FAMILY & FRIENDSHIP
193,HUMOR
194,REFERENCE
195,HISTORICAL FICTION
196,HISTORY
197,GRAPHIC NOVELS
198,REFERENCE
199,GRAPHIC NOVELS
200,PICTURE
201,EASY READER
202,PICTURE
203,PICTURE
204,PICTURE
205,HISTORICAL FICTION
206,PICTURE
207,FAMILY & FRIENDSHIP
208,GRAPHIC NOVELS
209,EASY READER
210,ACTIVITY
211,GRAPHIC NOVELS
213,BIOGRAPHY
214,CHAPTER
216,INSTRUCTION RESOURCE DIVISION
217,INSTRUCTION RESOURCE DIVISION
218,INSTRUCTION RESOURCE DIVISION
219,CHAPTER
220,ADVENTURE
221,CHAPTER
222,REFERENCE
223,FAMILY & FRIENDSHIP
224,INSTRUCTION RESOURCE DIVISION
226,PICTURE
227,HUMOR
228,INSTRUCTION RESOURCE DIVISION
232,REFERENCE
233,CHAPTER
236,EASY READER
237,FAMILY & FRIENDSHIP
238,FANTASY
239,BIOGRAPHY
240,PICTURE
241,REFERENCE
242,HISTORICAL FICTION
243,SCIENCE
244,HISTORICAL FICTION
245,SPORTS
246,ADVENTURE
247,COOKBOOK
248,HUMOR
249,FAMILY & FRIENDSHIP
250,HISTORICAL FICTION
251,FAMILY & FRIENDSHIP
252,HISTORY
253,FANTASY
254,FAMILY & FRIENDSHIP
255,SPORTS
256,COOKBOOK
257,HISTORICAL FICTION
258,FAMILY & FRIENDSHIP
259,FAMILY & FRIENDSHIP
260,FANTASY
261,CHAPTER
262,INSTRUCTION RESOURCE DIVISION
263,FANTASY
264,PICTURE
265,PICTURE
266,REFERENCE
267,RELIGIOUS
268,FANTASY
270,PICTURE
271,PICTURE
272,EASY READER
273,GRAPHIC NOVELS
274,CONTEMPORARY
275,EASY READER
276,CHAPTER
277,CHAPTER
278,GRAPHIC NOVELS
279,ADVENTURE
280,PICTURE
281,ACTIVITY
282,PICTURE
283,GRAPHIC NOVELS
285,GRAPHIC NOVELS
286,FAMILY & FRIENDSHIP
287,FANTASY
288,FAMILY & FRIENDSHIP
289,PICTURE
290,PICTURE
291,PICTURE
292,CHAPTER
293,EASY READER
294,FAMILY & FRIENDSHIP
295,GRAPHIC NOVELS
296,INSTRUCTION RESOURCE DIVISION
297,FAMILY & FRIENDSHIP
300,HISTORICAL FICTION
301,EASY READER
302,CHAPTER
303,HISTORY
304,EASY READER
305,EASY READER
306,CHAPTER
307,SCIENCE
308,EASY READER
309,CHAPTER
310,PICTURE
311,REFERENCE
312,CHAPTER
313,CHAPTER
314,FAMILY & FRIENDSHIP
315,EASY READER
316,EASY READER
317,PICTURE
318,HISTORICAL FICTION
319,MYSTERY
320,EASY READER
321,EASY READER
322,CHAPTER
323,HISTORICAL FICTION
324,MYSTERY
325,STATIONERY
326,CHAPTER
327,EASY READER
328,PICTURE
329,HISTORICAL FICTION
330,HUMOR
331,REFERENCE
332,FANTASY
333,PICTURE
334,EASY READER
335,PICTURE
336,CHAPTER
337,FANTASY
338,FANTASY
339,HISTORICAL FICTION
340,FANTASY
344,PICTURE
345,INSTRUCTION RESOURCE DIVISION
