ZIP_CODE,EDU_NO_HS,EDU_HS_SOME_COLLEGE,EDU_BACHELOR_DEG,EDU_GRADUATE_DEG,HHI_BAND
52003,0.04,0.59,0.23,0.14,"60,000 to 70,000"
51247,0.10101010101010101,0.6868686868686869,0.18181818181818182,0.030303030303030304,"60,000 to 70,000"
60439,0.05,0.56,0.26,0.13,"90,000 to 100,00"
60203,0.06,0.26,0.32,0.36,"Over 100,000"
60452,0.09,0.65,0.17,0.09,"70,000 to 80,000"
62411,0.10891089108910891,0.6831683168316832,0.16831683168316833,0.039603960396039604,"50,000 to 60,000"
61354,0.07,0.7,0.16,0.07,"40,000 to 50,000"
62035,0.04040404040404041,0.7070707070707071,0.16161616161616163,0.09090909090909091,"60,000 to 70,000"
62704,0.0594059405940594,0.4752475247524752,0.26732673267326734,0.19801980198019803,"50,000 to 60,000"
61107,0.07,0.56,0.22,0.15,"50,000 to 60,000"
47172,0.07920792079207921,0.6336633663366337,0.19801980198019803,0.0891089108910891,"70,000 to 80,000"
46163,0.04040404040404041,0.6060606060606061,0.24242424242424243,0.1111111111111111,"80,000 to 90,000"
46227,0.16161616161616163,0.6262626262626263,0.1414141414141414,0.0707070707070707,"40,000 to 50,000"
47401,0.0594059405940594,0.31683168316831684,0.2871287128712871,0.33663366336633666,"50,000 to 60,000"
46347,0.06,0.73,0.15,0.06,"70,000 to 80,000"
66206,0.009900990099009901,0.21782178217821782,0.43564356435643564,0.33663366336633666,"Over 100,000"
67212,0.06,0.6,0.24,0.1,"50,000 to 60,000"
48706,0.1,0.7,0.13,0.07,"40,000 to 50,000"
48439,0.04,0.55,0.23,0.18,"60,000 to 70,000"
48911,0.11,0.68,0.14,0.07,"40,000 to 50,000"
48910,0.08,0.63,0.18,0.11,"30,000 to 40,000"
49509,0.22,0.62,0.12,0.04,"40,000 to 50,000"
48036,0.12,0.69,0.13,0.06,"40,000 to 50,000"
48304,0.03,0.29,0.32,0.36,"Over 100,000"
48067,0.04,0.38,0.34,0.24,"70,000 to 80,000"
49091,0.15151515151515152,0.7070707070707071,0.08080808080808081,0.06060606060606061,"40,000 to 50,000"
