ID,CH1_GENRE
1,Humor & Funny Stories
2,Biography & Autobiography
5,Humor & Funny Stories
7,Media
9,Informative Nonfiction
9,Records
9,Fun Facts & Interactive
9,Media
10,Media
10,Fantasy
11,Animal Stories
11,Media
12,Animal Stories
13,Action & Adventure
13,Humor & Funny Stories
15,Records
15,Fun Facts & Interactive
15,Media
17,Action & Adventure
17,Media
18,Realistic Fiction
19,Media
19,Fantasy
20,Humor & Funny Stories
23,Humor & Funny Stories
24,Humor & Funny Stories
24,Action & Adventure
28,Media
31,Fairy Tales
31,Folk Tales & Fables
31,Media
34,Animal Stories
34,Action & Adventure
35,Records
35,Fun Facts & Interactive
36,Historical Fiction
36,Action & Adventure
37,Informative Nonfiction
37,Records
37,Fun Facts & Interactive
38,Mystery & Suspense
41,Informative Nonfiction
44,Humor & Funny Stories
49,Realistic Fiction
50,Action & Adventure
51,Informative Nonfiction
53,Realistic Fiction
54,Media
56,Horror & Supernatural
58,Realistic Fiction
60,Media
63,Humor & Funny Stories
63,School Stories
64,Fairy Tales
64,Folk Tales & Fables
64,Humor & Funny Stories
65,Biography & Autobiography
66,Realistic Fiction
67,Classics
68,Records
68,Fun Facts & Interactive
69,Action & Adventure
71,Humor & Funny Stories
72,Media
73,Humor & Funny Stories
74,Media
74,Action & Adventure
75,Humor & Funny Stories
75,Media
76,Humor & Funny Stories
78,How-To
79,How-To
79,Records
79,Fun Facts & Interactive
80,Historical Fiction
85,Records
85,Fun Facts & Interactive
86,Humor & Funny Stories
87,Action & Adventure
87,Media
88,Biography & Autobiography
90,Humor & Funny Stories
91,How-To
95,Informative Nonfiction
95,Media
97,Historical Fiction
98,Science Fiction
98,Action & Adventure
98,Media
99,Romance
100,Science Fiction
100,Humor & Funny Stories
102,Fantasy
104,Records
104,Fun Facts & Interactive
106,Humor & Funny Stories
106,Action & Adventure
107,Narrative Nonfiction
108,Media
108,Action & Adventure
110,Narrative Nonfiction
111,Humor & Funny Stories
111,School Stories
113,Media
114,Humor & Funny Stories
115,Biography & Autobiography
116,Humor & Funny Stories
117,Fantasy
117,Action & Adventure
122,Animal Stories
122,Humor & Funny Stories
123,Informative Nonfiction
123,Records
123,Fun Facts & Interactive
126,Realistic Fiction
127,Records
127,Fun Facts & Interactive
127,Informative Nonfiction
128,Action & Adventure
128,Fantasy
129,Humor & Funny Stories
129,Action & Adventure
131,Action & Adventure
132,Action & Adventure
132,Mystery & Suspense
132,Media
133,Humor & Funny Stories
133,Action & Adventure
134,Horror & Supernatural
134,Spooky Stories
136,Records
136,Fun Facts & Interactive
139,Humor & Funny Stories
142,Humor & Funny Stories
143,Classics
144,Mystery & Suspense
145,Humor & Funny Stories
147,Media
147,Fantasy
148,Humor & Funny Stories
149,Realistic Fiction
151,Action & Adventure
151,Media
151,Young Adult
152,Media
153,School Stories
154,School Stories
154,Animal Stories
155,Humor & Funny Stories
156,Informative Nonfiction
156,Records
156,Fun Facts & Interactive
157,Historical Fiction
157,Action & Adventure
158,Fantasy
159,Media
160,Media
161,Informative Nonfiction
162,School Stories
163,Biography & Autobiography
167,Humor & Funny Stories
168,Humor & Funny Stories
168,School Stories
170,Fantasy
170,Myths & Legends
171,Action & Adventure
172,Humor & Funny Stories
173,Informative Nonfiction
174,Realistic Fiction
176,Records
176,Fun Facts & Interactive
177,Records
177,Fun Facts & Interactive
178,Horror & Supernatural
178,Media
180,Media
180,Advice & Inspiration
180,Biography & Autobiography
181,Media
181,Records
181,Fun Facts & Interactive
182,Records
182,Fun Facts & Interactive
182,Informative Nonfiction
183,Fairy Tales
183,Folk Tales & Fables
183,Media
185,Reference
