ID,CH2_SUBCATEGORY
2,PRIMARY NONFICTION
3,PAPERBACK BOOK
5,PAPER OVER BOARDS
7,8X8 BOOK
8,PAPERBACK BOOK
9,PAPER OVER BOARDS
14,PAPERBACK BOOK
15,GAMES
16,PAPERBACK BOOK
17,MOVIE TIE-IN
19,8X8 BOOK
22,PAPERBACK BOOK
25,PAPERBACK BOOK
26,HOLIDAY
28,GAMES
30,PAPERBACK BOOK
37,PAPERBACK BOOK
40,PAPERBACK BOOK
45,PRIMARY FICTION
47,PAPERBACK BOOK
51,PAPERBACK BOOK
52,PAPERBACK BOOK
54,8X8 BOOK
55,PAPERBACK BOOK
57,PAPERBACK BOOK
59,PAPERBACK BOOK
60,MEDIA
61,PAPERBACK BOOK
64,PAPERBACK BOOK
67,PAPERBACK BOOK
70,PRIMARY NONFICTION
72,PAPER OVER BOARDS
73,PRIMARY FICTION
74,MEDIA
75,8X8 BOOK
79,GAMES
81,HC/POB BOOK
83,ANIMAL
84,PAPERBACK BOOK
87,MEDIA
93,PAPERBACK BOOK
95,PRIMARY NONFICTION
99,MOVIE TIE-IN
101,PICTURE
104,GAMES
105,GAMES
108,MOVIE TIE-IN
109,HC/POB BOOK
112,8X8 BOOK
113,PAPERBACK BOOK
115,HC/POB BOOK
116,PRIMARY FICTION
119,PAPERBACK BOOK
120,DIARIES
121,PICTURE
122,PAPERBACK BOOK
123,PAPERBACK BOOK
127,PAPERBACK BOOK
133,HUMOR
134,ADVENTURE
138,PRESCHOOL
140,HC/POB BOOK
143,PAPERBACK BOOK
161,PRIMARY NONFICTION
163,PRIMARY NONFICTION
164,PRIMARY FICTION
165,PRIMARY FICTION
167,PAPER OVER BOARDS
169,HC/POB BOOK
172,PAPERBACK BOOK
173,PRIMARY NONFICTION
175,PRIMARY FICTION
176,GAMES
178,MOVIE TIE-IN
179,PRIMARY FICTION
181,MEDIA
182,PAPERBACK BOOK
183,MEDIA
184,PAPERBACK BOOK
186,HC/POB BOOK
188,CHILD
190,PAPERBACK BOOK
197,HUMOR
198,GAMES
200,PAPERBACK BOOK
201,PRIMARY FICTION
