zip,type,primary_city,state,county,latitude,longitude
00501,UNIQUE,Holtsville,NY,Suffolk County,40.81,-73.04
00544,UNIQUE,Holtsville,NY,Suffolk County,40.81,-73.04
00601,STANDARD,Adjuntas,PR,Adjuntas Municipio,18.16,-66.72
00602,STANDARD,Aguada,PR,Aguada Municipio,18.38,-67.18
00603,STANDARD,Aguadilla,PR,Aguadilla Municipio,18.43,-67.15
00604,PO BOX,Aguadilla,PR,,18.43,-67.15
00605,PO BOX,Aguadilla,PR,,18.43,-67.15
00606,STANDARD,Maricao,PR,Maricao Municipio,18.18,-66.98
00610,STANDARD,Anasco,PR,Añasco Municipio,18.28,-67.14
00611,PO BOX,Angeles,PR,,18.28,-66.79
00612,STANDARD,Arecibo,PR,Arecibo Municipio,18.45,-66.73
00613,PO BOX,Arecibo,PR,,18.45,-66.73
00614,PO BOX,Arecibo,PR,,18.45,-66.73
00616,STANDARD,Bajadero,PR,Arecibo Municipio,18.42,-66.67
00617,STANDARD,Barceloneta,PR,Barceloneta Municipio,18.45,-66.56
00622,STANDARD,Boqueron,PR,Cabo Rojo Municipio,17.99,-67.15
00623,STANDARD,Cabo Rojo,PR,Cabo Rojo Municipio,18.08,-67.14
00624,STANDARD,Penuelas,PR,Peñuelas Municipio,18.06,-66.72
00627,STANDARD,Camuy,PR,Camuy Municipio,18.48,-66.84
00631,PO BOX,Castaner,PR,Lares Municipio,18.19,-66.82
00636,PO BOX,Rosario,PR,,18.15,-67.06
00637,STANDARD,Sabana Grande,PR,Sabana Grande Municipio,18.08,-66.96
00638,STANDARD,Ciales,PR,Ciales Municipio,18.33,-66.47
00641,STANDARD,Utuado,PR,Utuado Municipio,18.27,-66.7
00646,STANDARD,Dorado,PR,Dorado Municipio,18.47,-66.27
00647,STANDARD,Ensenada,PR,Guánica Municipio,17.96,-66.94
00650,STANDARD,Florida,PR,Florida Municipio,18.36,-66.56
00652,STANDARD,Garrochales,PR,Arecibo Municipio,18.45,-66.6
00653,STANDARD,Guanica,PR,Guánica Municipio,17.99,-66.89
00656,STANDARD,Guayanilla,PR,Guayanilla Municipio,18.02,-66.79
00659,STANDARD,Hatillo,PR,Hatillo Municipio,18.48,-66.82
00660,STANDARD,Hormigueros,PR,Hormigueros Municipio,18.14,-67.12
00662,STANDARD,Isabela,PR,Isabela Municipio,18.5,-67.02
00664,STANDARD,Jayuya,PR,Jayuya Municipio,18.22,-66.59
00667,STANDARD,Lajas,PR,Lajas Municipio,18.04,-67.06
00669,STANDARD,Lares,PR,Lares Municipio,18.29,-66.88
00670,STANDARD,Las Marias,PR,Las Marías Municipio,18.27,-67.06
00674,STANDARD,Manati,PR,Manatí Municipio,18.43,-66.48
00676,STANDARD,Moca,PR,Moca Municipio,18.39,-67.11
00677,STANDARD,Rincon,PR,Rincón Municipio,18.34,-67.25
00678,STANDARD,Quebradillas,PR,Quebradillas Municipio,18.47,-66.93
00680,STANDARD,Mayaguez,PR,Mayagüez Municipio,18.2,-67.14
00681,PO BOX,Mayaguez,PR,,18.2,-67.14
00682,STANDARD,Mayaguez,PR,Mayagüez Municipio,18.22,-67.16
00683,STANDARD,San German,PR,San Germán Municipio,18.08,-67.04
00685,STANDARD,San Sebastian,PR,San Sebastián Municipio,18.33,-66.99
00687,STANDARD,Morovis,PR,Morovis Municipio,18.32,-66.4
00688,STANDARD,Sabana Hoyos,PR,Arecibo Municipio,18.38,-66.62
00690,STANDARD,San Antonio,PR,Aguadilla Municipio,18.49,-67.09
00692,STANDARD,Vega Alta,PR,Vega Alta Municipio,18.41,-66.32
00693,STANDARD,Vega Baja,PR,Vega Baja Municipio,18.44,-66.39
00694,PO BOX,Vega Baja,PR,Vega Baja Municipio,18.48,-66.39
00698,STANDARD,Yauco,PR,Yauco Municipio,18.03,-66.86
00703,STANDARD,Aguas Buenas,PR,Aguas Buenas Municipio,18.25,-66.1
00704,STANDARD,Aguirre,PR,Salinas Municipio,17.96,-66.22
00705,STANDARD,Aibonito,PR,Aibonito Municipio,18.14,-66.26
00707,STANDARD,Maunabo,PR,Maunabo Municipio,18,-65.9
00714,STANDARD,Arroyo,PR,Arroyo Municipio,17.97,-66.06
00715,STANDARD,Mercedita,PR,Ponce Municipio,18.01,-66.56
00716,STANDARD,Ponce,PR,Ponce Municipio,17.98,-66.6
00717,STANDARD,Ponce,PR,Ponce Municipio,18,-66.61
00718,STANDARD,Naguabo,PR,Naguabo Municipio,18.21,-65.73
00719,STANDARD,Naranjito,PR,Naranjito Municipio,18.3,-66.24
00720,STANDARD,Orocovis,PR,Orocovis Municipio,18.22,-66.39
00721,PO BOX,Palmer,PR,,18.37,-65.77
00723,STANDARD,Patillas,PR,Patillas Municipio,18,-66.01
00725,STANDARD,Caguas,PR,Caguas Municipio,18.23,-66.03
00726,PO BOX,Caguas,PR,,18.23,-66.03
00727,STANDARD,Caguas,PR,Caguas Municipio,18.22,-66.07
00728,STANDARD,Ponce,PR,Ponce Municipio,17.99,-66.66
00729,STANDARD,Canovanas,PR,Canóvanas Municipio,18.37,-65.9
00730,STANDARD,Ponce,PR,Ponce Municipio,18.03,-66.62
00731,STANDARD,Ponce,PR,Ponce Municipio,18.11,-66.63
00732,PO BOX,Ponce,PR,,17.98,-66.6
00733,PO BOX,Ponce,PR,,17.98,-66.6
00734,PO BOX,Ponce,PR,,17.98,-66.6
00735,STANDARD,Ceiba,PR,Ceiba Municipio,18.25,-65.68
00736,STANDARD,Cayey,PR,Cayey Municipio,18.11,-66.16
00737,PO BOX,Cayey,PR,,18.11,-66.16
00738,STANDARD,Fajardo,PR,Fajardo Municipio,18.33,-65.65
00739,STANDARD,Cidra,PR,Cidra Municipio,18.17,-66.15
00740,STANDARD,Puerto Real,PR,Fajardo Municipio,18.33,-65.63
00741,STANDARD,Punta Santiago,PR,Humacao Municipio,18.16,-65.75
00742,PO BOX,Roosevelt Roads,PR,,18.27,-65.65
00744,PO BOX,Rio Blanco,PR,,18.22,-65.79
00745,STANDARD,Rio Grande,PR,Río Grande Municipio,18.38,-65.83
00751,STANDARD,Salinas,PR,Salinas Municipio,17.97,-66.29
00754,STANDARD,San Lorenzo,PR,San Lorenzo Municipio,18.19,-65.96
00757,STANDARD,Santa Isabel,PR,Santa Isabel Municipio,17.97,-66.4
00765,STANDARD,Vieques,PR,Vieques Municipio,18.13,-65.44
00766,STANDARD,Villalba,PR,Villalba Municipio,18.13,-66.48
00767,STANDARD,Yabucoa,PR,Yabucoa Municipio,18.04,-65.87
